H2,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
,,Hyi,939,03 02 18.5,71 49 49,d,5.51,0.13,,0.11,,B9 IVp,,,
11,3,Eri,919,03 03 12.5,23 33 10,,4.08,C0.16,,C0.18,,A4 V,,,
92," ̨",Cet,911,03 03 14.9,C04 09 41,n08,2.54,C1.63,,C1.97,,M1.5 IIIa,,,
,,Hor,934,03 04 03.1,59 39 59,,5.12,C0.35,,C0.41,,F0 IV,V,,
23,,Per,915,03 06 08.9,C53 34 39,cdb,2.91,C0.72,,C0.77,,G5 III C A2 V,,,
25,,Per,921,03 06 22.1,C38 54 38,v,3.32,C1.53,,C2.76,,M4 II,,,
,,,881,03 08 41.4,C79 29 20,dbm,5.49,C1.57,,C2.02,,M2 IIIab,,,
26,ˇ,Per,936,03 09 22.8,C41 01 32,cvdb,2.09,0.00,,C0.02,,B8 V C F:,,,
,,Per,937,03 10 24.7,C49 40 57,d,4.05,C0.60,,C0.65,,G0 V,,,
27,,Per,941,03 10 45.1,C44 55 35,db,3.79,C0.98,,C0.94,,K0 III,,,
57,ı,Ari,951,03 12 41.5,C19 47 44,,4.35,C1.03,,C0.96,,K0 III,,,
," ̨",For,963,03 12 51.8,28 54 57,dm,3.80,C0.54,,C0.63,,F6 V,,,
,TW,Hor,977,03 13 01.4,57 15 10,s,5.71,C2.42,,C2.47,,"C6:,2.5 Ba2 Y4",,,
94,,Cet,962,03 13 43.2,01 07 41,d,5.07,C0.58,,C0.63,,G0 IV,,,
58,,Ari,972,03 15 58.1,C21 06 42,,4.87,0.01,,C0.02,,A0.5 VaC,,,
13,,Eri,984,03 16 44.0,08 45 07,b,4.80,C0.23,,C0.28,,A5m:,,,
29,,Per,987,03 19 57.4,C50 17 19,sb,5.16,0.07,,0.05,,B3 V,,,
96,,Cet,996,03 20 20.0,C03 26 13,dasv,4.84,C0.68,,C0.73,,G5 V,,,
16,4,Eri,1003,03 20 20.4,21 41 29,d,3.70,C1.61,,C2.42,,M3C IIIa Ca,,,1
,,,1008,03 20 40.0,43 00 00,,4.26,C0.71,,C0.79,,G8 V,,,
,,,999,03 21 27.8,C29 06 51,,4.47,C1.56,,C1.61,,K3 IIIa Ba 0.5,,,
61,,Ari,1005,03 22 17.9,C21 12 45,dvm,5.27,0.07,,0.04,,B5 IV,,,
,,,961,03 22 44.8,C77 48 00,d,5.44,C0.21,,C0.23,,A5 III:,,,
33," ̨",Per,1017,03 25 39.2,C49 55 32,dasn09,1.79,C0.48,,C0.63,,F5 Ib,,,
1,o,Tau,1030,03 25 48.7,C09 05 34,b,3.61,C0.89,,C0.90,,G6 IIIa Fe,,1,
,,,1009,03 26 18.1,C64 39 01,,5.13,C2.04,,C2.23,,M0 II,,,
,,,1029,03 27 16.7,C49 11 04,sv,6.09,0.07,,0.05,,B7 V,,,
2,,Tau,1038,03 28 10.5,C09 47 46,dbm,3.73,0.08,,0.07,,B9 Vn,,,
,,Ret,1083,03 29 42.3,62 52 22,d,4.71,C0.41,,C0.49,,F5 IV,V,,
,,,1035,03 30 34.9,C60 00 11,vdm,4.21,C0.42,,C0.58,,B9 Ia,,,
,,,1040,03 31 24.2,C58 56 28,asb,4.55,C0.49,,C0.79,,A0 Ia,,,
17,,Eri,1070,03 31 32.2,05 00 46,,4.74,0.09,,0.07,,B9 Vs,,,
35,,Per,1052,03 31 53.3,C48 03 27,,4.36,C1.37,,C1.42,,K3 III,,,
5,,Tau,1066,03 31 53.8,C12 59 56,b,4.14,C1.11,,C1.01,,K0 II,III Fe,,0.5
18,,Eri,1084,03 33 48.2,09 23 48,das,3.72,C0.88,,C0.94,,K2 V,,,
19,5,Eri,1088,03 34 36.4,21 34 19,b,4.26,0.11,,0.09,,B8 V,,,
20,EG,Eri,1100,03 37 08.0,17 24 25,dvm,5.24,0.12,,0.10,,B9p Si,,,
,,,1106,03 37 45.6,40 12 53,,4.57,C1.02,,C1.07,,K1 III,,,

H6,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
37,,Per,1087,03 37 48.8,C48 15 09,,4.32,0.06,,C0.07,,B5 Ve,,
10,,Tau,1101,03 37 49.1,C00 27 33,,4.29,C0.58,,C0.66,,F9 IV,V,
,ı,For,1134,03 42 59.1,31 52 49,b,4.99,0.16,,0.15,,B5 IV,,
,BD,Cam,1105,03 43 46.7,C63 16 30,b,5.06,C1.65,,C2.40,,S3.5/2,,
23,ı,Eri,1136,03 44 08.2,09 42 07,,3.52,C0.92,,C0.94,,K0C IV,,
39,ı,Per,1122,03 44 15.0,C47 50 42,dbm,3.01,0.13,,0.07,,B5 III,,
,ˇ,Ret,1175,03 44 26.2,64 44 57,db,3.84,C1.13,,C1.11,,K2 III,,
24,,Eri,1146,03 45 27.0,01 06 21,b,5.24,0.09,,0.07,,B7 V,,
38,o,Per,1131,03 45 29.0,C32 20 44,vdbm,3.84,C0.02,,C0.12,,B1 III,,
17,,Tau,1142,03 45 58.7,C24 10 13,b,3.72,0.11,,0.09,,B6 III,,
19,,Tau,1145,03 46 18.8,C24 31 26,db,4.30,0.11,,0.08,,B6 IV,,
41,,Per,1135,03 46 27.4,C42 38 08,d,3.77,C0.43,,C0.52,,F5 II,,
29,,Tau,1153,03 46 39.6,C06 06 24,db,5.34,0.10,,0.08,,B3 V,,
20,,Tau,1149,03 46 55.9,C24 25 27,sb,3.87,0.06,,0.02,,B7 IIIp,,
,,Hyi,1208,03 46 58.3,74 10 55,,3.26,C1.59,,C1.94,,M2 III,,
26,,Eri,1162,03 47 01.1,12 02 41,,4.43,C1.60,,C1.89,,M2 IIIab,,
23 v971,,Tau,1156,03 47 25.7,C24 00 17,,4.14,0.05,,C0.02,,B6 IV,,
27,6,Eri,1173,03 47 38.7,23 11 46,,4.22,C0.43,,C0.51,,F3 III,,
25,,Tau,1165,03 48 35.3,C24 09 40,d,2.85,0.09,,0.01,,B7 IIIn,,
,,,1195,03 50 08.8,36 08 42,,4.17,C0.93,,C0.92,,G7 IIIa,,
27,,Tau,1178,03 50 16.0,C24 06 31,db,3.62,0.07,,0.03,,B8 III,,
,BE,Cam,1155,03 51 14.1,C65 34 52,,4.39,C1.87,,C2.58,,M2C IIab,,
,,Cam,1148,03 52 20.5,C71 23 13,d,4.59,C0.06,,C0.13,,A1 IIIn,,
44,,Per,1203,03 55 18.0,C31 56 14,sdb,2.84,C0.27,,C0.18,,B1 Ib,,
34,,Eri,1231,03 58 53.6,13 27 25,d,2.97,C1.59,,C1.78,,M0.5 IIIb Ca,,1
,ı,Ret,1247,03 59 02.6,61 20 54,,4.56,C1.59,,C1.85,,M1 III,,
45,,Per,1220,03 59 06.1,C40 03 44,sdb,2.90,0.20,,0.19,,B0.5 IV,,
46,,Per,1228,04 00 10.2,C35 50 34,b,3.98,C0.02,,C0.16,,O7.5 IIIf,,
35,,Tau,1239,04 01 42.5,C12 32 29,vb,3.41,0.10,,0.08,,B3 V,,
35,,Eri,1244,04 02 28.4,01 29 56,,5.28,0.13,,0.12,,B5 V,,
38,,Tau,1251,04 04 08.6,C06 02 22,,3.91,C0.03,,C0.03,,A1 Va,,
37,,Tau,1256,04 05 47.5,C22 07 52,d,4.36,C1.06,,C1.02,,K0 III,,
47,,Per,1261,04 07 58.2,C50 23 59,,4.25,0.01,,C0.08,,A0 IIIn,,
