"BRIGHT STARS,",Ascension,Declination
2905,07 37 03.6,C26 51 11
2937,07 38 03.2,35 00 40
2927,07 38 11.9,04 09 13
2943,07 40 16.3,C05 10 33
3024,07 41 34.9,72 39 01
2974,07 41 35.7,31 42 19
2970,07 42 07.9,09 35 44
2973,07 44 27.9,C28 50 14
2996,07 44 33.1,29 00 00
2946,07 44 33.8,C58 39 54
2985,07 45 33.8,C24 21 08
3017,07 45 54.9,38 00 52
2990,07 46 26.7,C27 58 48
3015,07 46 48.0,14 36 36
3003,07 47 11.6,C18 27 49
3008,07 47 17.2,C10 43 19
2999,07 47 53.1,C37 28 16
3037,07 48 05.1,46 39 18
2609,07 48 29.2,C86 58 29
3013,07 48 41.7,C33 22 08
3034,07 48 51.3,25 59 03
3055,07 49 48.1,46 25 14
3045,07 50 04.4,24 54 26
3059,07 52 39.5,C01 43 06
3080,07 52 51.2,40 37 28
3084,07 53 18.0,38 54 42
3090,07 53 50.8,48 09 07
3067,07 54 37.6,C26 42 59
3066,07 56 03.2,C47 30 54
3117,07 57 14.9,53 01 57
3102,07 57 39.3,22 55 50
3113,07 58 24.4,30 23 07
3129,07 58 46.4,49 17 45
3153,07 59 56.4,60 38 18
3122,08 00 39.6,03 43 52
3131,08 00 41.8,18 27 04
3075,08 02 22.5,C73 51 57
3145,08 03 13.6,C02 16 57
3165,08 04 14.1,40 03 22
3149,08 04 39.1,C27 44 28
3223,08 07 59.0,68 40 17
3185,08 08 19.9,24 21 31
3188,08 09 31.4,03 02 20
3173,08 09 50.5,C51 27 06
3192,08 09 51.2,19 18 01
3207,08 10 06.2,47 23 30
3225,08 12 01.2,39 40 28
3229,08 14 11.0,15 50 42
3182,08 14 37.9,C68 25 03
3243,08 14 42.4,40 24 19
3249,08 17 31.0,C09 07 38
3318,08 18 01.2,76 58 39
3270,08 19 14.9,36 43 03
3340,08 20 03.4,77 32 36
3262,08 21 11.1,C27 09 23
3282,08 22 06.8,33 06 51
3307,08 22 53.5,59 34 10
3275,08 24 05.7,C43 07 38
3315,08 25 51.7,24 06 26
3347,08 25 56.0,66 11 56
3314,08 26 35.1,03 58 04
3323,08 31 47.2,C60 39 16
3366,08 33 46.5,C20 22 38
3426,08 38 17.7,43 03 16
3410,08 38 38.1,C05 38 17
3418,08 39 43.4,C03 16 31
3502,08 40 39.2,79 01 47
3447,08 40 49.4,52 59 17
3438,08 40 49.6,35 22 29
3431,08 40 54.1,12 32 30
3457,08 41 01.5,59 49 39
3445,08 41 14.4,46 42 55
3422,08 42 17.4,C45 46 04
3454,08 44 11.4,C03 19 52
3468,08 44 20.2,33 15 14
3449,08 44 21.2,C21 24 03
3477,08 45 03.6,42 43 01
3485,08 45 12.9,54 46 38
3461,08 45 44.0,C18 05 07
3487,08 46 39.3,46 06 35
3498,08 47 11.2,56 50 18
3484,08 47 15.0,13 36 59
3482,08 47 45.2,C06 21 00
3475,08 47 48.8,C28 41 28
3492,08 49 24.7,C05 46 06
3500,08 50 17.5,03 30 46
3518,08 51 19.1,27 46 45
3678,08 53 38.8,85 44 03
3571,08 55 27.9,60 42 56
3547,08 56 22.2,C05 52 27
3582,08 57 25.5,59 18 04
3572,08 59 29.8,C11 47 06
3569,09 00 28.0,C47 58 05
3575,09 00 40.6,C32 20 44
3591,09 00 46.9,41 19 35
3579,09 01 50.0,C41 42 30
3615,09 02 44.1,66 28 13
3576,09 04 11.3,C67 33 21
3614,09 04 47.6,47 10 19
3594,09 04 52.8,C47 04 55
3643,09 05 11.0,72 40 38
3612,09 07 42.0,C38 22 38
3634,09 08 40.7,43 30 29
3623,09 08 44.8,C10 35 34
3619,09 10 10.0,C51 31 43
3627,09 10 25.2,C21 58 10
3659,09 11 27.3,59 02 35
3663,09 11 41.9,62 23 36
3685,09 13 23.7,69 47 37
3652,09 15 00.4,C43 08 25
3665,09 15 19.5,C02 14 07
3696,09 16 43.4,57 37 10
3699,09 17 35.1,59 21 12
3690,09 19 59.4,C36 43 24
3705,09 22 10.6,C34 18 48
3718,09 22 18.8,26 02 42
3734,09 22 41.2,55 05 25
3731,09 25 43.7,C26 06 06
3748,09 28 29.8,08 44 23
